Sample	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5	Average Across Loops	STDEV		
HDHA_aux_mode3_0.	35.810233	36.574334	36.389987	37.329705	37.977432	36.816338	0.846208		41.95909713
HDHA_aux_mode3_1.	37.210706	38.07209	37.23824	37.586849	37.694611	37.560499	0.355883		7.033414585
HDHA_aux_mode3_2.	50.850594	50.649014	52.278916	53.089445	50.634301	51.500454	1.121203		
HDHA_aux_mode9_0.	40.701627	41.307678	40.94168	41.551678	41.674276	41.235388	0.408978		43.44025967
HDHA_aux_mode9_1.	42.030393	42.370278	42.445692	42.429121	42.882181	42.431533	0.303297		4.054713831
HDHA_aux_mode9_2.	39.721538	50.564281	40.313668	51.939469	50.730335	46.653858	6.084855		
HDHA_equmesh_mode3_0.	74.955453	75.851817	77.913252	79.087053	78.044225	77.17036	1.705404		97.75729167
HDHA_equmesh_mode3_1.	108.552878	105.416196	106.313948	108.71116	107.905866	107.38001	1.450617		15.14081512
HDHA_equmesh_mode3_2.	108.947514	109.653304	107.14933	110.097039	107.76034	108.721505	1.245692		
HDHA_equmesh_mode9_0.	138.000344	134.611444	137.692009	135.300463	133.531962	135.827244	1.950878		108.4311743
HDHA_equmesh_mode9_1.	101.607997	108.474779	106.75095	107.134371	104.987329	105.791085	2.649161		22.24588624
HDHA_equmesh_mode9_2.	87.979902	83.768489	83.802309	82.888459	79.936808	83.675194	2.878795		
HDHA_nonaux_mode3_0.	93.701112	90.169305	90.146521	89.404622	90.981311	90.880574	1.67248		88.97184353
HDHA_nonaux_mode3_1.	86.587549	89.742322	89.416413	86.367521	86.925029	87.807767	1.633456		2.060104156
HDHA_nonaux_mode3_2.	90.26233	87.214419	89.43291	87.699362	86.526927	88.22719	1.564509		
HDHA_nonaux_mode9_0.	98.364713	98.565734	99.716126	100.095843	102.269753	99.802434	1.563463		76.8124538
HDHA_nonaux_mode9_1.	39.260287	45.283081	47.461058	44.797597	43.254423	44.011289	3.052929		24.72039671
HDHA_nonaux_mode9_2.	86.127439	86.802406	85.175832	86.871415	88.1411	86.623639	1.088393		
HDLA_aux_mode3_0.	73.712911	72.782304	72.919157	72.519698	71.188119	72.624438	0.917951		88.0201868
HDLA_aux_mode3_1.	118.563468	115.31978	115.117706	114.783533	115.455847	115.848067	1.538911		20.43711459
HDLA_aux_mode3_2.	73.850649	76.492362	76.444375	75.856036	75.296857	75.588056	1.086996		
HDLA_aux_mode9_0.	67.899144	67.262557	66.454603	69.348465	66.446862	67.482326	1.207571		64.75084593
HDLA_aux_mode9_1.	59.816402	60.022176	60.491166	59.611798	61.563368	60.300982	0.777386		3.402674145
HDLA_aux_mode9_2.	66.615841	66.872645	67.571882	65.682384	65.603396	66.46923	0.831997		
HDLA_equmesh_mode3_0.	76.945594	75.719069	75.886126	75.421106	74.084446	75.611268	1.028948		72.14298127
HDLA_equmesh_mode3_1.	68.083801	69.010764	66.9633	69.183551	67.371128	68.122509	0.977835		3.319599415
HDLA_equmesh_mode3_2.	72.693925	72.835982	74.108705	72.419695	71.417527	72.695167	0.965164		
HDLA_equmesh_mode9_0.	67.437834	74.17098	72.869824	61.819107	75.254035	70.310356	5.618006		68.24935
HDLA_equmesh_mode9_1.	70.664796	71.164187	71.499994	71.176309	69.584706	70.817998	0.751304		4.812282085
HDLA_equmesh_mode9_2.	58.830265	65.497191	62.78944	65.769258	65.212324	63.619695	2.928739		
